,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
seq575|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,0.17172,-0.92396,-0.93378,0.16072,-0.25519,-0.26769,1.04338,1.29508,-0.21662,-0.22454,0.55722,-0.1838,4.89079,-0.27867,-0.25845,-0.29244,0.93324,-0.19169,-1.01935,-0.13857,2.30636,1.58053,1.64493,-0.28071,-0.21525,0.49769,-0.30461,-0.21571,-0.2232,0.20587,-1.06727,-0.23907,-0.24428,-0.59064,0.18902,1.75502,1.79152,-0.28176,-0.10657,0.34066,0.88819,1.62313,-1.08805,1.32088,-0.19178,-0.46567,0.15916,-0.31883,-0.24464,-0.202,-1.36951,2.74536,-0.18643,-0.99197,0
seq576|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,1.99302,-0.24643,0.48512,0.76596,-0.87908,0.91368,-0.55007,0.83604,-0.25519,-0.26769,-0.21857,-0.40108,0.36179,-0.22454,-0.45101,-0.1838,-0.19234,-0.27867,0.91794,-0.29244,-0.70989,-0.19169,0.42525,-0.13857,-0.75649,0.51339,-0.5874,-0.28071,-0.21525,-1.01671,2.22944,-0.21571,-0.2232,0.69379,-0.30472,-0.23907,-0.24428,-0.59064,-0.61408,0.09612,-1.15947,2.88319,-0.10657,-0.48087,0.55405,0.61178,1.05109,-1.30351,-0.31053,0.09782,-0.21086,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.37421,0
seq577|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,1.74791,-0.92396,2.32774,-0.17695,-0.25519,-0.26769,0.55317,0.64117,0.36179,-0.22454,-0.40332,-0.1838,-0.19234,-0.27867,-1.30813,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,0.39863,0.51339,-0.5874,-0.28071,-0.21525,-0.2116,-0.30461,-0.21571,-0.2232,0.05571,1.32937,-0.23907,-0.24428,-0.59064,4e-05,-1.48394,-0.15294,-0.28176,-0.10657,-0.11864,0.50128,0.78034,1.47892,0.98322,-0.85089,0.43562,0.87924,-0.31883,-0.84538,3.39796,0.73019,-0.35722,2.61212,1.39494,0
seq578|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,-0.52882,2.08402,-0.93378,-0.85228,-0.25519,-0.26769,1.09112,1.03013,-0.21662,-0.22454,1.90642,-0.1838,-0.19234,-0.27867,-1.13737,-0.29244,1.75481,-0.19169,-1.01935,-0.13857,-0.75649,0.51339,-0.5874,-0.28071,-0.21525,1.10738,-0.30461,-0.21571,-0.2232,-0.4793,1.69683,-0.23907,-0.24428,-0.59064,-0.04721,-0.47578,-0.90198,-0.28176,-0.10657,-0.0276,-0.83711,1.24388,-0.66023,1.33955,-1.45435,-0.2997,-1.03925,2.91497,-0.24464,-0.202,0.73019,2.74536,-0.18643,-0.85017,0
seq579|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,5.60925,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,-0.00342,-0.92396,0.4092,0.49838,-0.25519,-0.26769,-1.28994,0.10923,-0.21662,-0.22454,-0.47656,-0.1838,-0.19234,-0.27867,-0.34968,-0.29244,-1.12067,-0.19169,-1.01935,-0.13857,3.19874,-0.55375,-0.86644,-0.28071,-0.21525,1.71166,-0.30461,-0.21571,-0.2232,0.37158,-2.14975,-0.23907,-0.24428,0.66317,-0.54819,-0.87469,1.2146,-0.28176,-0.10657,0.10522,-0.5467,1.24388,1.90674,-0.56243,-0.03878,0.00467,1.23665,-0.31883,-0.24464,-0.202,-1.36951,-0.35722,-0.18643,-0.02247,0
seq580|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,1.26488,-0.51986,-0.70395,0.33056,-0.35822,-0.51461,-0.25519,-0.26769,-0.76967,-0.39682,-0.79504,-0.22454,0.10608,-0.1838,-0.19234,-0.27867,-0.55991,-0.29244,0.11168,-0.19169,-0.29705,-0.13857,1.39185,-0.02018,-0.86644,-0.28071,-0.21525,0.46845,-0.30461,-0.21571,2.95208,0.57702,-0.56344,-0.23907,-0.24428,-0.59064,-0.61978,-2.00689,0.69481,-0.28176,-0.10657,0.33721,-0.14821,1.07532,0.62326,-0.83373,0.16831,-1.74248,0.05447,2.91497,-0.54501,-0.202,0.73019,-0.35722,-0.18643,1.07202,0
seq581|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,-0.35368,-0.92396,-0.35822,-0.17695,-0.25519,-0.26769,0.5064,0.01859,0.36179,-0.22454,1.19048,-0.1838,-0.19234,3.60692,-1.6333,-0.29244,0.93324,-0.19169,-1.01935,-0.13857,0.42454,0.51339,-0.5874,-0.28071,-0.21525,-0.10675,2.22944,-0.21571,-0.2232,-0.47051,0.08686,-0.23907,-0.24428,0.66317,0.63487,-0.9897,0.28408,-0.28176,-0.10657,0.06352,-0.48541,1.07532,-1.08805,-0.29866,-0.00254,0.17427,-1.73924,-0.31883,1.55758,-0.202,0.73019,-0.35722,-0.18643,-0.27864,0
seq582|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.29463,0.87636,1.04738,-0.92396,-0.93378,-0.51461,-0.25519,-0.26769,-0.20542,0.28975,-0.79504,3.13867,-0.40674,-0.1838,-0.19234,-0.27867,-0.62812,-0.29244,0.93324,-0.19169,-1.01935,-0.13857,1.49413,-0.28696,-0.30836,-0.28071,-0.21525,0.62411,-0.30461,-0.21571,-0.2232,0.4233,0.30721,-0.23907,-0.24428,0.66317,0.39603,-1.48359,0.33368,-0.28176,6.91262,-0.38951,-1.33148,1.41243,0.19543,1.28607,-0.328,0.93399,0.49072,-0.31883,2.15832,-0.202,0.73019,-0.35722,-0.18643,-0.65958,0
seq583|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,3.36042,-0.17397,-0.26697,-0.24643,-1.85414,1.22257,-0.17855,-0.92396,-0.35822,1.51137,-0.25519,3.0803,-0.3009,1.89522,-0.79504,-0.22454,2.52666,-0.1838,-0.19234,-0.27867,-1.25685,-0.29244,2.57638,-0.19169,-1.01935,-0.13857,2.89835,-1.62089,-0.5874,-0.28071,-0.21525,-0.16894,-0.30461,-0.21571,-0.2232,1.02178,-0.28992,-0.23907,-0.24428,0.66317,-0.93993,1.00295,1.22289,-0.28176,6.91262,-1.17925,0.43425,2.5502,-0.66023,1.04289,-1.63587,1.44689,-0.02834,-0.31883,2.75906,-0.202,0.73019,-0.35722,-0.18643,-0.97223,0
seq584|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.07439,-0.51986,-0.87908,0.93421,-0.55007,0.49838,-0.25519,-0.26769,0.30175,0.66303,-0.79504,-0.22454,1.73635,-0.1838,-0.19234,-0.27867,-1.50036,-0.29244,1.34403,-0.19169,-1.01935,-0.13857,0.37177,-0.82053,-0.5874,-0.28071,-0.21525,1.23294,-0.30461,-0.21571,-0.2232,-0.547,1.23809,-0.23907,-0.24428,-0.59064,-0.32983,0.02247,-0.51714,-0.28176,-0.10657,-0.93879,-0.58655,1.41243,-0.2324,-0.30626,-0.88343,-0.59017,-1.28602,2.91497,3.66017,-0.202,0.73019,-0.35722,-0.18643,-0.39596,0
seq585|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,0.64907,0.87225,-0.92396,1.36847,1.51137,-0.25519,3.0803,-0.7494,1.99508,-0.79504,-0.22454,0.90844,-0.1838,-0.19234,-0.27867,0.22065,-0.29244,0.11168,-0.19169,-1.01935,-0.13857,3.25853,1.84731,2.7611,-0.28071,-0.21525,0.58424,-0.30461,-0.21571,-0.2232,1.16902,-1.32001,-0.23907,-0.24428,-0.59064,0.11734,1.09039,1.57881,-0.28176,6.91262,-0.11077,0.29153,2.04453,-0.2324,0.33775,0.33462,-0.08632,0.66233,-0.31883,0.3561,-0.202,0.73019,-0.35722,2.61212,-0.40884,0
seq586|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,3.1754,-0.68451,0.93277,1.04738,-0.92396,0.4092,-0.51461,-0.25519,-0.26769,0.4061,0.86809,-0.21662,-0.22454,-0.38412,-0.1838,-0.19234,-0.27867,-1.4138,-0.29244,0.93324,-0.19169,-1.01935,7.3076,0.37753,-0.82053,-0.5874,-0.28071,-0.21525,0.12923,-0.30461,-0.21571,-0.2232,-1.08293,1.21396,-0.23907,-0.24428,-0.59064,-0.09787,-0.18029,-0.27131,-0.28176,6.91262,1.09371,0.71551,1.45457,0.19543,1.55889,-0.41232,-1.1651,1.18221,-0.31883,1.85795,-0.202,0.73019,-0.35722,-0.18643,-1.61845,0
seq587|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,0.17172,2.78212,0.60105,0.83604,-0.25519,-0.26769,-0.38164,-0.43402,-0.79504,-0.22454,1.65188,-0.1838,-0.19234,-0.27867,-1.08151,-0.29244,1.34403,-0.19169,-0.29705,-0.13857,0.42273,0.51339,-0.5874,-0.28071,-0.21525,0.12205,-0.30461,-0.21571,-0.2232,-1.00316,0.45936,-0.23907,-0.24428,0.66317,0.45863,-0.32559,0.0436,-0.28176,-0.10657,-1.12439,0.29899,1.70741,-0.2324,-0.15081,-1.40509,0.26868,-0.04412,-0.31883,3.3598,-0.202,-1.36951,-0.35722,-0.18643,-0.169,0
seq588|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,1.99302,3.1754,0.09525,-0.51986,-0.52882,1.1806,-0.55007,-0.51461,-0.25519,-0.26769,0.26289,-1.40079,-0.21662,3.13867,0.87703,-0.1838,-0.19234,-0.27867,-1.59142,3.00321,0.52246,-0.19169,0.42525,-0.13857,0.37969,0.24661,-0.5874,-0.28071,-0.21525,0.16824,-0.30461,-0.21571,-0.2232,-0.06433,-0.12136,-0.23907,-0.24428,-0.59064,1.19265,-0.27603,0.3015,-0.28176,-0.10657,-0.01329,-0.33515,1.66527,-0.2324,0.30867,-0.85132,-1.27389,-0.24011,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,-1.04894,0
seq589|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.07439,0.86499,1.39765,-0.92396,-0.55007,1.17371,-0.25519,-0.26769,-0.93223,0.66257,-0.79504,-0.22454,1.80958,-0.1838,-0.19234,-0.27867,0.5582,-0.29244,1.75481,-0.19169,-1.01935,-0.13857,1.42794,-0.28696,-0.5874,-0.28071,-0.21525,-0.3736,2.22944,-0.21571,-0.2232,0.92118,-0.92405,-0.23907,-0.24428,1.91698,-1.17636,-0.80655,0.66868,-0.28176,-0.10657,-1.05991,-1.67386,1.62313,-1.08805,-0.22207,0.36735,-0.67645,0.79098,-0.31883,-0.84538,-0.202,0.73019,2.74536,-0.18643,-0.88949,0
seq590|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,-0.52882,-0.92396,-0.16636,0.49838,-0.25519,-0.26769,-0.26832,2.27265,0.9402,-0.22454,0.75724,-0.1838,-0.19234,-0.27867,0.10112,-0.29244,-1.12067,-0.19169,-1.01935,-0.13857,3.51163,1.04696,0.52877,-0.28071,-0.21525,1.37047,-0.30461,-0.21571,-0.2232,1.29047,-1.75898,-0.23907,-0.24428,-0.59064,0.58268,0.94112,1.69093,-0.28176,-0.10657,-0.85923,-1.13334,1.45457,0.62326,-0.69476,0.20772,-0.16866,-0.76042,2.91497,-0.84538,-0.202,-1.36951,-0.35722,2.61212,0.23994,0
seq591|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.48512,0.85647,0.17172,1.28121,-0.74193,-0.51461,-0.25519,-0.26769,0.65188,0.37448,-0.21662,-0.22454,0.13717,-0.1838,-0.19234,-0.27867,-0.26375,-0.29244,1.34403,-0.19169,-1.01935,-0.13857,0.34589,1.04696,-0.86644,-0.28071,-0.21525,-0.00611,2.22944,-0.21571,-0.2232,0.14032,0.64537,-0.23907,-0.24428,0.66317,1.58373,0.58815,-0.4133,-0.28176,-0.10657,0.97452,-1.06786,0.99104,-0.66023,0.44584,-0.44481,-0.01551,-0.1042,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,-0.85017,0
seq592|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.29463,-0.51986,-0.87908,0.97528,-0.55007,0.49838,-0.25519,-0.26769,0.29676,-1.0637,-0.79504,-0.22454,2.17382,-0.1838,-0.19234,-0.27867,-0.88843,-0.29244,1.75481,-0.19169,-1.01935,-0.13857,0.39174,0.51339,-0.86644,-0.28071,-0.21525,-0.01773,-0.30461,-0.21571,-0.2232,-0.9742,0.82387,-0.23907,-0.24428,-0.59064,0.0914,-0.44924,-0.27086,-0.28176,-0.10657,0.25289,0.44551,1.62313,0.19543,-0.15295,-0.94567,-0.90719,-0.00619,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.35126,0
seq593|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.29463,0.69615,1.04738,-0.92396,1.56032,0.83604,-0.25519,-0.26769,-0.1759,0.88078,0.36179,-0.22454,0.49636,-0.1838,-0.19234,-0.27867,-0.45438,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,0.34781,1.31375,-0.86644,-0.28071,-0.21525,-0.98931,-0.30461,3.89495,-0.2232,-0.31805,1.19955,-0.23907,-0.24428,-0.59064,-1.55278,0.57819,-0.21944,-0.28176,-0.10657,0.44931,0.64299,1.28602,-0.2324,2.07523,0.80815,-0.22681,-0.77605,-0.31883,-0.54501,3.39796,-1.36951,-0.35722,2.61212,0.34558,0
seq594|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,1.99302,3.1754,-0.29463,-0.51986,-0.70395,1.34486,-0.35822,-0.17695,-0.25519,-0.26769,0.20288,0.09805,-0.21662,3.13867,0.69817,-0.1838,-0.19234,-0.27867,-1.87672,3.00321,0.11168,-0.19169,0.42525,-0.13857,-0.75649,-0.82053,-0.86644,4.20706,-0.21525,-0.52026,-0.30461,-0.21571,-0.2232,-0.98797,1.19999,-0.23907,-0.24428,-0.59064,-0.34389,-0.79435,-0.42918,2.88319,-0.10657,0.82774,-0.07968,1.53885,-1.08805,0.47042,-0.33587,-2.32462,0.45129,-0.31883,1.25721,-0.202,0.73019,-0.35722,-0.18643,1.33089,0
seq595|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,0.34685,1.55018,-0.55007,-0.85228,-0.25519,3.0803,1.39586,0.62049,0.9402,-0.22454,-0.47038,-0.1838,4.89079,-0.27867,1.11249,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,2.36167,-0.55375,0.52877,-0.28071,-0.21525,0.14267,-0.30461,-0.21571,-0.2232,-0.31152,-0.71269,-0.23907,-0.24428,-0.59064,0.74015,1.15439,2.05638,-0.28176,-0.10657,0.97188,0.94038,1.37029,-1.08805,1.44647,1.08094,-0.43585,0.77335,-0.31883,-0.54501,-0.202,-1.36951,-0.35722,-0.18643,-1.07883,0
seq596|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,1.65475,-0.51986,1.92305,1.05741,2.5196,-0.51461,-0.25519,3.0803,0.72114,0.64341,0.9402,-0.22454,2.57353,-0.1838,-0.19234,-0.27867,1.0944,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,-0.75649,-0.82053,-0.5874,-0.28071,-0.21525,0.18448,-0.30461,-0.21571,-0.2232,1.0902,1.27153,-0.23907,-0.24428,0.66317,-1.05416,-0.67737,-0.61587,-0.28176,-0.10657,-0.0099,-0.35477,1.03318,0.19543,0.7339,-0.86368,0.18807,-2.63539,2.91497,4.2609,-0.202,0.73019,-0.35722,2.61212,-0.7695,0
seq597|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,-0.87908,0.93421,-0.93378,-1.18994,-0.25519,-0.26769,-0.41045,0.74463,2.09702,-0.22454,-0.38982,-0.1838,-0.19234,-0.27867,0.04396,-0.29244,-0.29911,-0.19169,0.42525,-0.13857,-0.75649,-0.02018,-0.02932,-0.28071,-0.21525,-0.69555,-0.30461,-0.21571,-0.2232,-0.94127,-0.09432,-0.23907,-0.24428,0.66317,0.19275,-0.92478,0.3217,-0.28176,-0.10657,-0.9438,-0.21515,1.03318,-1.08805,0.12527,-0.36523,0.56798,-0.64503,-0.31883,0.3561,-0.202,-1.36951,-0.35722,-0.18643,-0.45621,0
seq598|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,3.36042,-0.17397,-0.26697,3.1754,0.48512,-0.51986,1.04738,-0.92396,-0.74193,-1.18994,-0.25519,-0.26769,1.70269,-0.16012,1.51861,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,-0.79153,-0.29244,-0.29911,-0.19169,-1.01935,-0.13857,-0.75649,0.24661,-0.86644,-0.28071,-0.21525,0.1745,-0.30461,-0.21571,-0.2232,-0.48992,1.43286,-0.23907,2.63255,-0.59064,0.31691,1.29374,-0.10168,-0.28176,-0.10657,-1.53425,-0.53141,0.61178,-0.66023,1.18388,0.18295,-0.14615,-0.10922,-0.31883,0.65647,-0.202,0.73019,-0.35722,2.61212,-0.66041,0
seq599|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,4.69282,0.34685,1.34486,0.79291,0.49838,-0.25519,-0.26769,-0.49571,0.50913,0.36179,-0.22454,0.42686,-0.1838,-0.19234,-0.27867,-0.81732,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,0.39898,0.24661,-0.86644,-0.28071,2.47062,-0.58309,-0.30461,-0.21571,-0.2232,-1.84973,0.23142,-0.23907,-0.24428,-0.59064,-1.18489,-0.55889,-0.65438,-0.28176,-0.10657,-0.89954,-0.19829,1.20174,-0.66023,0.30878,-1.04344,-0.54472,-0.75699,-0.31883,2.75906,-0.202,-1.36951,-0.35722,-0.18643,-0.85017,0
seq600|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,6.10497,-0.26697,-0.24643,-0.68451,-0.51986,-1.22935,-0.92396,-0.93378,1.51137,-0.25519,-0.26769,-1.32118,0.46797,-0.79504,-0.22454,-0.45313,-0.1838,-0.19234,3.60692,0.34846,-0.29244,-1.12067,-0.19169,-1.01935,-0.13857,4.46695,0.78018,-0.02932,-0.28071,-0.21525,0.80201,-0.30461,-0.21571,-0.2232,0.30131,-2.55815,-0.23907,-0.24428,-0.59064,-0.15503,0.94095,1.6882,-0.28176,6.91262,0.22412,-0.42606,1.1596,1.47892,-1.88368,0.21312,0.96684,-0.0449,-0.31883,0.95684,-0.202,0.73019,-0.35722,-0.18643,-1.04458,0
seq601|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.48512,1.06144,1.22251,-0.92396,-0.93378,-1.5276,-0.25519,-0.26769,0.17691,-0.41523,0.36179,-0.22454,-0.33253,-0.1838,-0.19234,-0.27867,-1.0337,-0.29244,1.34403,-0.19169,-0.29705,-0.13857,-0.75649,-0.82053,-0.5874,-0.28071,-0.21525,0.7171,-0.30461,-0.21571,-0.2232,0.1747,0.53862,-0.23907,5.50938,0.66317,-0.61067,1.24385,-0.03834,-0.28176,-0.10657,-0.09578,0.52252,1.41243,-0.66023,1.25874,-0.32028,-0.41776,1.36683,-0.31883,1.85795,-0.202,0.73019,2.74536,2.61212,-0.68418,0
seq602|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,1.22251,-0.92396,-0.93378,-1.86527,-0.25519,-0.26769,0.89774,-0.6216,0.9402,-0.22454,0.65764,-0.1838,-0.19234,3.60692,-0.30072,-0.29244,1.34403,-0.19169,-1.01935,-0.13857,-0.75649,-0.28696,-0.5874,-0.28071,-0.21525,0.15638,-0.30461,-0.21571,-0.2232,0.50442,0.69506,-0.23907,-0.24428,1.91698,-0.48579,0.31818,-0.2424,-0.28176,-0.10657,0.09845,0.02112,0.86462,-0.2324,0.5248,-0.85719,-0.08753,0.57727,-0.31883,-0.24464,-0.202,0.73019,-0.35722,-0.18643,-0.92984,0
seq603|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,3.1754,-0.29463,1.29035,1.39765,2.78212,0.21734,-0.51461,-0.25519,-0.26769,0.32616,1.68481,0.36179,-0.22454,1.93718,-0.1838,-0.19234,-0.27867,-0.47603,-0.29244,1.75481,-0.19169,-1.01935,-0.13857,0.43745,-0.82053,-0.5874,-0.28071,-0.21525,0.13486,-0.30461,-0.21571,-0.2232,-1.08257,-0.30658,-0.23907,-0.24428,-0.59064,-0.23676,0.52771,0.93759,-0.28176,-0.10657,-0.53069,0.01446,1.1596,-0.2324,0.70899,-0.59388,-1.12238,-1.2926,-0.31883,0.65647,-0.202,0.73019,-0.35722,-0.18643,-0.80445,0
seq604|0|negative,-0.14425,-0.20744,-0.22883,4.99754,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,6.10497,-0.26697,-0.24643,0.48512,-0.51986,-0.17855,1.05741,-0.16636,-0.17695,-0.25519,-0.26769,0.43286,-0.2465,-0.21662,-0.22454,0.28983,-0.1838,-0.19234,-0.27867,0.13315,-0.29244,0.11168,-0.19169,-1.01935,-0.13857,0.3589,-0.55375,-0.30836,-0.28071,-0.21525,0.83991,-0.30461,-0.21571,-0.2232,-0.31014,-0.36736,-0.23907,-0.24428,0.66317,-1.56692,-0.08411,-0.73591,-0.28176,-0.10657,1.32638,-1.04228,0.7382,0.62326,0.78025,1.24403,0.42208,0.17661,-0.31883,-0.24464,-0.202,0.73019,-0.35722,-0.18643,-0.16391,0
seq605|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,0.71807,-0.35368,2.78212,0.02549,0.49838,-0.25519,-0.26769,-0.30726,-0.56732,0.36179,-0.22454,-0.47021,-0.1838,-0.19234,3.60692,-0.10951,-0.29244,-0.29911,-0.19169,0.42525,-0.13857,1.3808,0.78018,-0.5874,-0.28071,-0.21525,-0.69404,-0.30461,-0.21571,-0.2232,-0.68594,-0.90951,-0.23907,2.63255,-0.59064,-0.14156,0.39438,0.68781,-0.28176,-0.10657,-0.13164,0.28303,1.58099,0.19543,-0.80837,-0.39778,-0.61337,0.53466,-0.31883,-0.24464,-0.202,-1.36951,-0.35722,-0.18643,1.55752,0
seq606|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.48512,0.84551,1.39765,0.82744,-0.16636,-0.17695,-0.25519,-0.26769,-0.05776,-0.1929,0.36179,-0.22454,0.12854,-0.1838,-0.19234,-0.27867,0.37016,-0.29244,0.11168,-0.19169,-0.29705,-0.13857,1.35947,-0.02018,-0.5874,-0.28071,-0.21525,-0.5893,2.22944,-0.21571,-0.2232,-0.66443,-0.76916,-0.23907,2.63255,-0.59064,-1.37983,0.00999,0.33106,-0.28176,-0.10657,0.39242,-0.74383,1.70741,-0.2324,-0.16014,-0.0581,-0.36353,0.12088,-0.31883,-0.54501,-0.202,-1.36951,2.74536,-0.18643,0.47791,0
