,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
negative207,-0.12453,-0.19626,-0.21715,5.86665,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,1.44864,-0.47044,-0.92396,-0.10241,0.27327,-0.22045,-0.24832,2.32002,0.88364,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.81361,-0.24955,-1.80531,-0.19169,-1.01935,-0.11703,-0.75649,1.75839,1.08685,-0.28071,5.1565,0.75953,-0.30461,-0.19193,-0.2232,0.28491,2.0835,-0.23907,-0.24428,-0.59064,-2.37693,-0.24613,-1.45681,-0.2726,-0.10657,-1.95206,0.10387,-1.0738,1.38724,2.16465,-1.19036,-1.24386,-2.39043,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,0.3426,0
negative208,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,7.1771,-0.20814,-0.20684,-1.20435,-0.51986,0.23009,-0.92396,0.665,0.72349,-0.22045,-0.24832,0.47035,-0.78218,1.6076,4.6674,-0.26059,-0.1838,-0.17764,-0.21124,-0.94711,-0.24955,-0.70989,-0.19169,-0.05628,-0.11703,-0.75649,-0.02018,-0.77343,-0.28071,-0.21525,0.32879,-0.30461,-0.19193,4.27512,-0.04618,0.74387,4.68535,-0.24428,-0.59064,0.40051,0.16743,-1.20358,-0.2726,-0.10657,-0.00795,-1.78275,-0.77883,1.38724,-0.12492,-0.11908,-0.4106,-0.29026,-0.26272,0.85672,-0.202,0.73019,-0.27646,-0.15406,0.66088,0
negative209,-0.12453,4.30927,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.93063,0.85619,-0.86983,-0.62717,-0.22045,-0.24832,1.00032,0.41629,0.00584,-0.22454,1.92888,-0.1838,-0.17764,-0.21124,-0.09637,-0.24955,2.02867,-0.19169,-1.01935,-0.11703,-0.75649,-1.08732,-0.02932,-0.28071,-0.21525,-1.04152,-0.30461,-0.19193,-0.2232,0.49564,1.75589,-0.23907,-0.24428,-0.59064,0.12511,1.88048,0.79049,-0.2726,-0.10657,0.92902,-0.27271,-0.39957,-0.93526,1.62625,-0.14977,-1.51346,0.3952,-0.26272,2.45869,-0.202,-1.36951,-0.27646,-0.15406,0.78571,0
negative210,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,0.34685,1.79657,-0.74193,-0.51461,-0.25519,-0.26769,-0.70124,-1.0047,-0.21662,-0.22454,-0.4585,-0.1838,-0.19234,-0.27867,0.97265,-0.29244,-0.29911,-0.19169,-1.01935,-0.13857,1.36579,-0.55375,-0.02932,-0.28071,-0.21525,0.53115,-0.30461,-0.21571,-0.2232,1.10318,-1.4753,-0.23907,-0.24428,0.66317,-0.51817,-0.15139,1.04946,-0.28176,-0.10657,0.64574,-0.38073,0.65392,-0.66023,-1.32319,0.27835,-0.31307,-0.12945,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.53838,0
negative211,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-0.70395,1.40235,-0.35822,0.27327,-0.22045,-0.24832,0.13981,1.51122,-0.79504,-0.22454,0.7994,-0.1838,-0.17764,-0.21124,-0.93974,3.58977,0.38553,-0.19169,0.90678,-0.11703,-0.75649,0.33553,0.34274,-0.28071,-0.21525,-0.65939,-0.30461,-0.19193,-0.2232,-0.3979,0.95126,-0.23907,-0.24428,-0.59064,0.7382,-1.15695,-0.05613,-0.2726,-0.10657,-0.65279,0.54166,-0.23101,-0.93526,-0.1202,-0.45796,0.18069,-2.38547,-0.26272,3.25967,-0.202,0.73019,-0.27646,-0.15406,-1.03704,0
negative212,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,1.16414,-0.92396,1.68823,0.72349,-0.22045,-0.24832,0.1347,0.88562,-0.79504,-0.22454,1.12327,-0.1838,-0.17764,-0.21124,-0.97559,-0.24955,1.48095,-0.19169,-1.01935,-0.11703,-0.75649,0.33553,-0.02932,-0.28071,-0.21525,-1.02068,-0.30461,-0.19193,-0.2232,-0.1712,0.60183,-0.23907,-0.24428,-0.59064,1.50253,-1.06245,0.04417,-0.2726,-0.10657,-0.33799,0.33416,-0.56813,-0.35463,0.25864,0.23102,-0.61812,-1.17356,-0.26272,0.45622,-0.202,-1.36951,-0.27646,-0.15406,0.11825,0
negative213,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,0.69712,1.10258,1.17662,-0.17695,-0.22045,-0.24832,-0.70114,-1.62844,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,2.22502,-0.24955,-0.70989,-0.19169,-1.01935,-0.11703,0.35701,-1.08732,-0.02932,-0.28071,-0.21525,-0.05632,-0.30461,-0.19193,-0.2232,-0.39268,-0.04518,-0.23907,-0.24428,1.29008,0.21593,-1.89208,-0.40314,-0.2726,-0.10657,1.35468,0.82402,-0.48385,-0.35463,1.44133,2.10342,-0.08065,1.34392,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,-1.58999,0
negative214,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,2.78925,-1.17097,0.85619,-0.86983,0.72349,-0.22045,-0.24832,0.14828,0.57002,0.00584,-0.22454,0.3603,-0.1838,-0.17764,-0.21124,-0.89977,-0.24955,1.48095,-0.19169,-1.01935,-0.11703,0.32632,-1.44303,-0.40137,-0.28071,5.1565,-0.54565,-0.30461,-0.19193,-0.2232,-0.80189,0.05703,-0.23907,-0.24428,-0.59064,0.07656,0.42538,-0.45457,-0.2726,-0.10657,0.94479,2.09172,-0.06245,-0.93526,0.96389,-0.2757,-2.73895,-0.4462,-0.26272,-0.34476,-0.202,-1.36951,-0.27646,-0.15406,-1.30852,0
negative215,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-1.40448,0.20532,-1.12564,0.27327,-0.22045,-0.24832,0.08429,1.52541,-0.79504,-0.22454,-0.37354,-0.1838,-0.17764,-0.21124,0.30303,-0.24955,-1.80531,-0.19169,-0.05628,8.5575,1.41005,-0.02018,1.08685,-0.28071,-0.21525,0.36763,-0.30461,-0.19193,-0.2232,-0.0973,-1.47652,-0.23907,-0.24428,-0.59064,-0.0194,0.80677,0.24972,-0.2726,-0.10657,0.34539,-1.31575,-0.14673,-0.35463,-1.5139,2.61991,1.25642,1.07048,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,1.05533,0
negative216,-0.11566,-0.19123,-0.21189,6.35667,-0.07893,-0.09837,-0.13592,-0.12008,-0.19915,-0.18334,-0.22725,-0.12131,-0.18169,-0.18904,0.75504,-0.51986,-0.59617,-0.36343,-0.24015,-0.28084,-0.20483,-0.23961,-0.92428,0.58515,-0.79504,-0.22454,-0.32765,-0.1838,-0.17102,-0.18092,0.68931,-0.23026,-0.4571,-0.19169,1.20311,-0.10735,0.33265,-0.5127,0.5717,-0.28071,-0.21525,-1.18656,-0.30461,-0.18124,-0.2232,0.41134,-0.75236,-0.23907,-0.24428,-0.59064,0.24972,-0.42212,1.01853,-0.26849,-0.10657,-1.87446,2.22902,-0.73669,-0.83849,-0.23145,0.90042,-1.18057,0.86956,-0.23748,-0.68364,-0.202,0.73019,-0.24014,-0.1395,-1.15121,0
negative217,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,-0.47044,-0.92396,-0.10241,-0.17695,-0.22045,-0.24832,0.27695,0.50779,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.85843,-0.24955,-0.70989,-0.19169,-0.05628,-0.11703,-0.75649,0.69125,-0.02932,-0.28071,-0.21525,-0.97622,-0.30461,-0.19193,4.27512,0.56062,0.54967,-0.23907,-0.24428,1.29008,1.4411,1.16512,-0.60845,-0.2726,-0.10657,-0.22154,-1.09043,-0.77883,-0.35463,0.3079,1.00899,0.5109,1.2209,-0.26272,-0.74525,-0.202,0.73019,-0.27646,6.36637,0.81036,0
negative218,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-0.00342,1.40235,0.4092,1.17371,-0.22045,-0.24832,-1.13272,-2.99808,-0.79504,-0.22454,0.15719,-0.1838,-0.17764,-0.21124,-0.14407,-0.24955,-0.70989,-0.19169,-0.05628,-0.11703,1.23416,-0.37589,0.71479,-0.28071,-0.21525,0.53164,-0.30461,-0.19193,-0.2232,2.01693,-1.7933,-0.23907,3.73903,-0.59064,0.35747,-0.26471,0.4265,-0.2726,-0.10657,-1.29848,1.56811,-0.35743,1.38724,-1.72709,2.10493,0.3141,-0.71567,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,1.91448,0
negative219,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,2.19221,0.93063,0.66319,1.43242,1.17371,-0.22045,-0.24832,-1.08339,0.51847,0.00584,-0.22454,-0.42285,-0.1838,-0.17764,-0.21124,-0.4413,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,2.15693,0.69125,1.08685,-0.28071,-0.21525,-0.53809,-0.30461,-0.19193,-0.2232,0.14501,-2.20697,-0.23907,-0.24428,-0.59064,-0.28552,1.14179,1.55848,-0.2726,-0.10657,-0.96376,-0.75235,0.10611,0.80661,-0.30549,-1.1634,-0.00136,0.28455,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,-0.56563,0
negative220,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,-1.05421,-0.92396,-0.74193,-0.17695,3.74897,3.0803,-0.10835,0.45866,0.36179,-0.22454,0.71428,-0.1838,-0.19234,3.60692,0.16487,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,0.3322,-0.02018,-0.86644,-0.28071,-0.21525,0.88635,-0.30461,-0.21571,-0.2232,0.43534,-0.29993,-0.23907,-0.24428,0.66317,0.79954,0.38041,-0.70299,-0.28176,-0.10657,-0.47412,0.37443,0.86462,-0.2324,0.4581,1.37182,0.35161,1.02158,-0.31883,0.65647,-0.202,0.73019,2.74536,-0.18643,-1.2496,0
negative221,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-0.93746,0.44554,-0.61402,0.27327,-0.22045,-0.24832,0.03655,0.56863,0.00584,-0.22454,-0.34978,-0.1838,-0.17764,-0.21124,0.63387,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,-1.08732,-0.77343,-0.28071,-0.21525,0.0884,-0.30461,-0.19193,-0.2232,-0.23633,0.45369,-0.23907,-0.24428,-0.59064,-0.02613,-0.56599,-0.88849,7.1015,-0.10657,0.64649,-1.43659,-0.48385,0.22599,-0.83452,0.62459,2.03597,0.80616,-0.26272,0.85672,-0.202,0.73019,-0.27646,-0.15406,-0.58075,0
negative222,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,0.97052,-0.47044,1.75961,-0.10241,0.72349,-0.22045,-0.24832,-1.04191,0.79127,-0.79504,-0.22454,-0.36898,-0.1838,-0.17764,-0.21124,2.13046,-0.24955,-0.70989,-0.19169,-1.01935,-0.11703,1.24327,-0.02018,1.08685,-0.28071,-0.21525,-0.40318,-0.30461,-0.19193,-0.2232,-0.18369,-1.49559,-0.23907,-0.24428,-0.59064,-1.27429,0.19521,0.0647,-0.2726,-0.10657,-0.21381,-0.4991,0.10611,-0.93526,0.26719,2.11431,-2.10124,1.34206,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,-1.0982,0
negative223,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-0.47044,0.44554,-0.10241,0.27327,-0.22045,-0.24832,-0.23903,1.98373,0.00584,-0.22454,-0.18898,-0.1838,-0.17764,-0.21124,-1.27179,3.58977,-0.16218,-0.19169,0.90678,-0.11703,0.38778,-0.37589,-0.77343,-0.28071,-0.21525,0.12041,-0.30461,-0.19193,-0.2232,-1.5651,-0.15502,-0.23907,-0.24428,-0.59064,-0.24818,2.11108,0.43613,-0.2726,-0.10657,0.02528,-0.57511,-0.10459,-0.35463,-1.02109,-0.8097,-0.71104,-1.6307,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,2.26685,0
negative224,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-1.40448,-0.92396,-1.12564,0.72349,-0.22045,-0.24832,0.83709,-0.18761,-0.79504,-0.22454,-0.22007,-0.1838,-0.17764,-0.21124,0.32087,-0.24955,-0.70989,-0.19169,-0.05628,-0.11703,-0.75649,0.69125,-0.02932,1.21521,-0.21525,1.09707,-0.30461,-0.19193,-0.2232,-0.00629,0.15972,-0.23907,-0.24428,1.29008,0.6951,-0.53121,-1.31042,-0.2726,-0.10657,0.73682,0.18471,-1.0738,-0.35463,-1.50625,-0.13554,0.56395,-0.15488,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,-0.24059,0
negative225,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.48512,-0.51986,-0.87908,0.65292,-0.55007,-0.17695,-0.25519,3.0803,-0.94999,-0.8445,-0.79504,-0.22454,-0.02786,-0.1838,-0.19234,-0.27867,0.9011,-0.29244,-0.29911,-0.19169,1.14755,-0.13857,-0.75649,-0.02018,-0.86644,-0.28071,-0.21525,0.95296,-0.30461,-0.21571,-0.2232,-0.0136,-0.08285,-0.23907,-0.24428,-0.59064,0.93681,-1.29378,-0.44459,-0.28176,-0.10657,1.01585,0.18608,1.07532,0.62326,-1.15081,0.34002,-0.25875,1.58008,2.91497,-0.54501,-0.202,0.73019,-0.35722,-0.18643,-0.11925,0
negative226,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,1.21973,-0.23693,-0.02875,0.15339,-1.07738,-0.22045,-0.24832,0.31957,0.01206,0.80672,-0.22454,-0.26906,-0.1838,-0.17764,-0.21124,-0.04546,-0.24955,0.38553,-0.19169,0.90678,-0.11703,-0.75649,1.04696,-0.02932,-0.28071,-0.21525,-0.77093,-0.30461,4.59684,4.27512,-0.58934,0.99792,-0.23907,-0.24428,-0.59064,0.1194,-1.50373,-0.22672,-0.2726,-0.10657,0.92522,0.75039,-0.18887,-1.51588,0.76795,-0.94408,-1.12814,-1.93457,-0.26272,-0.74525,-0.202,0.73019,3.33793,-0.15406,-1.0982,0
negative227,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,0.83618,0.23009,-0.92396,0.15339,1.17371,-0.22045,-0.24832,-2.64197,-0.57317,-0.79504,-0.22454,-0.42285,-0.1838,-0.17764,-0.21124,0.57015,-0.24955,0.38553,-0.19169,1.86985,-0.11703,0.23559,-1.44303,-0.40137,-0.28071,-0.21525,-1.3146,-0.30461,-0.19193,-0.2232,-0.08571,-0.90449,-0.23907,-0.24428,1.29008,-0.34722,-2.4746,1.2734,-0.2726,-0.10657,0.25543,0.87813,0.14824,0.22599,0.44955,1.76893,1.47077,0.31755,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,0.01598,0
negative228,7.81828,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,-0.47044,0.52767,-0.10241,-0.62717,-0.22045,-0.24832,1.93657,-1.67803,-0.79504,-0.22454,0.36795,-0.1838,-0.17764,-0.21124,0.33556,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,0.33553,1.08685,-0.28071,5.1565,0.29946,-0.30461,-0.19193,4.27512,-0.51649,1.15233,-0.23907,-0.24428,-0.59064,-0.98691,-0.03384,-0.91201,-0.2726,-0.10657,0.73182,1.34676,-0.94739,0.80661,0.87923,-0.93543,-0.74381,-0.71167,3.50456,-0.34476,-0.202,0.73019,-0.27646,-0.15406,1.23336,0
negative229,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,0.93063,-0.92396,-0.35822,0.72349,-0.22045,-0.24832,-0.19715,-0.67477,0.00584,-0.22454,-0.38738,-0.1838,-0.17764,-0.21124,-1.69235,-0.24955,0.38553,-0.19169,-0.05628,-0.11703,1.22549,-0.7316,0.34274,-0.28071,-0.21525,-0.63263,-0.30461,-0.19193,-0.2232,-0.20662,-1.09059,-0.23907,3.73903,1.29008,-1.19194,0.8316,1.26277,-0.2726,-0.10657,-0.60869,2.59372,-0.10459,0.80661,0.51697,1.06913,-1.00191,-0.91691,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,-0.76052,0
negative230,7.81828,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,0.46361,0.20532,0.92081,-0.62717,-0.22045,-0.24832,0.31901,0.4737,0.00584,-0.22454,0.3188,-0.1838,-0.17764,4.31533,-0.17817,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,0.38977,-1.44303,-0.40137,-0.28071,-0.21525,-0.18394,-0.30461,4.59684,-0.2232,-1.151,0.40262,-0.23907,-0.24428,-0.59064,0.36391,1.19102,1.07181,-0.2726,-0.10657,0.32171,-0.62677,-0.82097,-0.35463,-0.19008,0.16254,-0.24288,1.40404,3.50456,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,1.58443,0
negative231,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,3.19751,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.91467,-0.51986,-0.23693,1.10258,-0.61402,-2.42804,-0.22045,-0.24832,1.53477,0.69277,1.6076,-0.22454,-0.02363,-0.1838,-0.17764,-0.21124,-1.01386,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,0.69125,0.34274,-0.28071,-0.21525,1.05203,-0.30461,-0.19193,-0.2232,3.43326,0.61048,-0.23907,-0.24428,-0.59064,-1.12756,0.2466,0.14421,-0.2726,-0.10657,0.97762,-1.26273,-1.15808,0.80661,0.22992,-0.82498,1.70342,-0.801,3.50456,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,-0.57979,0
negative232,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,3.77947,-0.16467,-0.51986,0.46361,0.52767,-0.35822,-1.5276,-0.22045,-0.24832,1.2019,-1.13014,1.6076,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.30877,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,-0.7316,-0.40137,-0.28071,-0.21525,-0.72491,-0.30461,-0.19193,-0.2232,0.13793,2.28069,-0.23907,-0.24428,-0.59064,0.72032,0.50798,-0.80254,-0.2726,-0.10657,0.51508,-0.00424,-0.44171,-0.93526,2.01783,0.93672,-0.9443,1.53569,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,-1.38715,0
negative233,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,2.87571,-0.23693,0.20532,-0.35822,-0.17695,-0.22045,-0.24832,-0.97405,0.52526,0.80672,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.62655,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,1.38295,0.33553,-0.77343,-0.28071,-0.21525,-0.64351,-0.30461,-0.19193,-0.2232,-0.09182,-1.01392,-0.23907,-0.24428,-0.59064,0.64229,-0.09206,0.31786,-0.2726,-0.10657,0.99607,1.13101,-0.14673,0.80661,0.69364,-1.19108,-0.59937,0.34227,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,0.03999,0
negative234,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,0.66205,0.69712,1.05741,1.17662,1.51137,-0.25519,-0.26769,-1.68928,0.98751,-0.21662,-0.22454,0.45518,-0.1838,-0.19234,-0.27867,-0.03253,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,2.25009,-0.82053,-0.02932,-0.28071,-0.21525,0.42099,-0.30461,-0.21571,-0.2232,0.43144,-1.22611,4.68535,-0.24428,-0.59064,-0.10012,-1.06538,0.49914,-0.28176,-0.10657,0.71564,-1.25454,1.49671,1.47892,-0.81394,0.95831,-1.04371,-0.65161,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.37986,0
negative235,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.69712,-0.92396,-0.86983,-1.07738,-0.22045,-0.24832,-0.28024,-1.78946,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,4.31533,2.20634,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,0.29059,-1.08732,-0.40137,-0.28071,-0.21525,-0.03112,-0.30461,-0.19193,-0.2232,0.97799,0.06879,-0.23907,-0.24428,3.1708,0.5885,-0.6896,-0.1031,-0.2726,-0.10657,1.09307,-1.03514,-0.52599,-0.35463,1.01533,1.97625,-1.96462,-0.93772,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,1.30754,0
negative236,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,-0.00342,-0.92396,-0.74193,-0.51461,-0.25519,-0.26769,-0.89249,1.95379,0.36179,-0.22454,0.26281,-0.1838,-0.19234,-0.27867,-1.13519,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,1.40285,0.24661,-0.86644,-0.28071,-0.21525,1.02579,-0.30461,-0.21571,-0.2232,0.87286,-0.59169,-0.23907,-0.24428,0.66317,-1.09188,-0.82615,0.2999,-0.28176,-0.10657,-0.82761,-0.2201,1.37029,0.19543,0.5865,-0.42601,-0.74577,-1.71628,-0.31883,0.05573,-0.202,-1.36951,-0.35722,-0.18643,-0.39596,0
negative237,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,1.05129,-0.23693,1.75961,-0.10241,-1.07738,-0.22045,-0.24832,0.02268,0.60067,0.00584,-0.22454,-0.3366,-0.1838,-0.17764,-0.21124,-0.19002,-0.24955,0.93324,-0.19169,-0.05628,-0.11703,-0.75649,-1.79874,-0.77343,-0.28071,-0.21525,-0.0723,-0.30461,-0.19193,-0.2232,-0.06254,0.00306,-0.23907,-0.24428,1.29008,-1.51114,0.42051,0.00815,-0.2726,-0.10657,0.01887,-0.5911,-0.52599,-0.35463,0.35035,-0.63196,-1.09241,-1.20624,-0.26272,1.25721,-0.202,0.73019,3.33793,-0.15406,0.21325,0
negative238,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.93063,0.85619,-0.86983,-0.62717,-0.22045,-0.24832,-0.29234,-0.11337,0.00584,-0.22454,-0.37257,-0.1838,-0.17764,-0.21124,0.6661,-0.24955,0.38553,-0.19169,0.90678,-0.11703,-0.75649,-0.02018,-0.40137,-0.28071,-0.21525,-0.38197,-0.30461,-0.19193,-0.2232,-0.7769,0.66435,-0.23907,-0.24428,-0.59064,-0.56308,-0.87092,0.10219,-0.2726,-0.10657,0.47539,-0.43097,-0.23101,-0.35463,0.4839,1.3644,-0.63558,-0.41047,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,1.5055,0
