,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
negative99,-0.14425,-0.20744,-0.22883,4.99754,-0.11946,-0.13001,-0.14945,-0.13489,5.60925,7.20322,-0.27295,-0.17397,-0.26697,-0.24643,3.99402,-0.51986,-1.40448,0.45581,-1.12564,-1.86527,-0.25519,-0.26769,2.52979,-0.2135,1.51861,-0.22454,-0.25018,-0.1838,-0.19234,-0.27867,1.20498,-0.29244,-1.94224,3.82133,-1.01935,-0.13857,-0.75649,-0.28696,-0.30836,-0.28071,-0.21525,1.12202,-0.30461,3.89495,-0.2232,2.19737,1.14545,-0.23907,-0.24428,-0.59064,-0.34898,0.74372,-0.66553,-0.28176,-0.10657,-0.45615,-1.30786,-0.65241,0.62326,0.26244,1.02121,2.05246,-1.16359,-0.31883,1.85795,-0.202,0.73019,-0.35722,-0.18643,-0.41396,0
negative100,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,2.97555,0.93063,-0.08829,1.43242,0.27327,-0.22045,-0.24832,0.84937,1.06101,0.80672,-0.22454,-0.2658,-0.1838,-0.17764,-0.21124,-0.08893,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,-0.7316,-0.77343,-0.28071,-0.21525,-0.25769,-0.30461,-0.19193,-0.2232,-0.82111,0.21808,-0.23907,-0.24428,-0.59064,-0.418,0.70678,-0.92416,-0.2726,-0.10657,-1.12118,-0.46927,-1.0738,0.22599,-0.42622,-0.30554,1.08884,0.02091,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,-0.12275,0
negative101,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,0.69712,0.61596,1.17662,0.72349,-0.22045,-0.24832,-0.21977,-1.24277,-0.79504,-0.22454,0.32612,-0.1838,-0.17764,-0.21124,1.1727,-0.24955,-1.2576,-0.19169,0.90678,-0.11703,-0.75649,-0.02018,-0.40137,-0.28071,-0.21525,0.55972,3.20408,4.59684,-0.2232,0.38419,0.112,-0.23907,3.73903,-0.59064,1.2805,0.25775,-0.7901,-0.2726,-0.10657,-0.59795,-0.75135,-0.65241,0.80661,-1.32771,1.23749,0.94936,0.85145,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,-0.2115,0
negative102,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,8.68434,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,0.85931,0.46361,1.40235,0.92081,0.72349,-0.22045,3.65197,-2.10683,-1.79533,-0.79504,-0.22454,-0.41358,-0.1838,-0.17764,-0.21124,0.27782,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,1.18117,1.75839,1.08685,-0.28071,-0.21525,1.18486,-0.30461,-0.19193,-0.2232,0.14983,-1.0369,-0.23907,-0.24428,-0.59064,0.84615,-0.39788,1.20514,-0.2726,-0.10657,1.0428,-0.00548,-0.02031,0.80661,-0.4026,-1.29116,-0.63051,-0.44292,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,-0.56563,0
negative103,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.46361,0.43528,0.92081,0.27327,-0.22045,-0.24832,-1.19433,0.95215,0.80672,-0.22454,0.22619,-0.1838,-0.17764,-0.21124,0.23568,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,0.30616,0.33553,1.45891,-0.28071,-0.21525,-1.01325,-0.30461,-0.19193,-0.2232,0.17755,-0.96792,-0.23907,-0.24428,-0.59064,-1.10908,-1.35207,0.25617,-0.2726,-0.10657,0.03497,-0.4051,-0.02031,0.22599,-1.59211,0.32251,-0.36334,-0.35042,-0.26272,0.45622,-0.202,-1.36951,-0.27646,-0.15406,1.01228,0
negative104,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,3.1754,-0.29463,-0.51986,0.17172,1.79657,-0.93378,-1.5276,-0.25519,-0.26769,0.86076,-0.74909,2.09702,3.13867,-0.9666,-0.1838,-0.19234,3.60692,-0.13072,-0.29244,-0.29911,-0.19169,-0.29705,-0.13857,-0.75649,1.31375,0.24972,-0.28071,-0.21525,-0.12374,-0.30461,-0.21571,-0.2232,0.35976,0.67233,-0.23907,-0.24428,0.66317,-0.90678,-0.82418,-0.25718,-0.28176,-0.10657,-0.90859,-1.36188,0.9489,-1.08805,0.84031,-0.22536,-0.25687,-2.24945,-0.31883,1.85795,-0.202,-1.36951,-0.35722,-0.18643,-0.86079,0
negative105,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,0.93063,1.10258,-0.61402,-1.97782,-0.22045,-0.24832,1.79324,-1.90879,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,3.23526,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,-0.7316,0.34274,-0.28071,-0.21525,0.14982,-0.30461,-0.19193,-0.2232,1.24593,1.49572,-0.23907,-0.24428,1.29008,2.22858,-1.00278,-0.82603,-0.2726,-0.10657,-1.13775,0.80662,-1.0738,0.22599,1.81874,-0.917,0.17606,-1.19602,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,0.81036,0
negative106,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,2.42466,-0.20684,-0.68451,-0.51986,0.23009,1.40235,0.665,0.72349,-0.22045,-0.24832,-0.03131,0.32406,0.00584,-0.22454,0.33523,-0.1838,-0.17764,-0.21124,-0.41621,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,0.35495,-0.02018,-0.40137,4.20706,-0.21525,-0.59189,-0.30461,-0.19193,-0.2232,-0.18658,-0.68744,-0.23907,-0.24428,-0.59064,-0.66861,1.09769,0.23187,-0.2726,-0.10657,0.49976,-0.02075,-0.18887,0.22599,-1.05955,-0.62107,0.80578,-0.62383,-0.26272,-0.74525,5.03431,-1.36951,-0.27646,-0.15406,0.88785,0
negative107,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,0.69712,0.52767,0.92081,-0.62717,-0.22045,3.65197,-0.04205,-0.41618,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.7447,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,0.28856,-1.44303,-0.77343,4.20706,-0.21525,1.18978,-0.30461,-0.19193,-0.2232,0.45555,0.69199,-0.23907,-0.24428,-0.59064,0.52015,-1.08326,-0.17492,-0.2726,-0.10657,-0.78477,1.24961,-0.52599,0.22599,0.49687,1.48121,-0.66336,0.34418,-0.26272,-0.34476,-0.202,0.73019,-0.27646,-0.15406,0.14996,0
negative108,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,0.46361,-0.92396,0.92081,-1.07738,-0.22045,-0.24832,0.16181,-2.28233,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.43375,-0.24955,-1.2576,-0.19169,-0.05628,-0.11703,-0.75649,-0.37589,-0.77343,4.20706,-0.21525,1.5825,-0.30461,-0.19193,-0.2232,1.57325,0.60663,-0.23907,-0.24428,3.1708,-2.1319,0.10664,-1.26584,-0.2726,-0.10657,1.06865,-1.64684,-1.11594,0.22599,0.00863,1.80946,1.41854,1.78943,-0.26272,-0.34476,-0.202,-1.36951,-0.27646,-0.15406,1.30754,0
negative109,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,0.77935,0.52198,-0.92396,0.98476,1.84903,-0.25519,-0.26769,-1.74933,-0.07402,-0.21662,-0.22454,0.07532,-0.1838,-0.19234,-0.27867,0.80973,-0.29244,-0.70989,-0.19169,0.42525,-0.13857,0.34649,-0.02018,-0.86644,-0.28071,-0.21525,-0.7378,2.22944,-0.21571,-0.2232,0.02641,-0.62931,-0.23907,-0.24428,-0.59064,0.19801,-1.37339,-0.19363,2.88319,-0.10657,0.09404,0.8398,1.11746,1.90674,-0.63543,0.73464,-0.23713,-0.58881,-0.31883,-0.54501,-0.202,-1.36951,-0.35722,2.61212,-0.08673,0
negative110,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,3.77947,-0.68451,-0.51986,-0.70395,-0.92396,-0.61402,-0.62717,-0.22045,-0.24832,0.33895,-0.21809,0.80672,-0.22454,-0.26287,-0.1838,-0.17764,-0.21124,-0.4078,-0.24955,0.93324,-0.19169,-0.05628,-0.11703,-0.75649,1.40267,1.83096,4.20706,-0.21525,-0.86185,-0.30461,-0.19193,-0.2232,0.17318,0.51383,-0.23907,-0.24428,-0.59064,-1.72252,-0.58184,1.50221,-0.2726,-0.10657,0.67364,0.47954,-0.65241,-0.93526,-0.03906,0.06869,-0.22882,-1.4349,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,1.44218,0
negative111,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,8.68434,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,0.94252,1.16414,-0.92396,1.68823,-0.17695,-0.22045,7.55225,-0.52734,-0.8232,-0.79504,-0.22454,-0.38021,-0.1838,-0.17764,-0.21124,0.51767,-0.24955,0.93324,-0.19169,0.90678,-0.11703,0.24963,-0.37589,0.71479,-0.28071,-0.21525,1.02293,-0.30461,-0.19193,4.27512,-0.3382,0.16374,-0.23907,-0.24428,-0.59064,0.1256,-1.10559,0.77955,-0.2726,-0.10657,0.88073,-0.53145,-0.10459,-0.35463,0.90585,-1.14209,-0.51561,-1.17347,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,1.17817,0
negative112,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.94443,-0.51986,-1.20989,-0.92396,-0.91246,0.87356,-0.24192,-0.26029,-1.20062,0.53001,-0.79504,-0.22454,0.50661,-0.1838,-0.18672,-0.25291,0.35057,-0.27606,0.38553,-0.19169,2.99343,-0.13034,-0.75649,-1.26517,-0.52539,-0.28071,-0.21525,-0.65735,-0.30461,-0.20662,-0.2232,-0.75561,-0.28941,-0.23907,-0.24428,-0.59064,1.11749,0.64226,0.84255,-0.27826,-0.10657,-0.767,0.75802,1.49671,-0.55956,-0.19213,1.16732,-2.01337,0.06216,-0.2974,0.52297,-0.202,0.73019,-0.32637,-0.17406,-0.09651,0
negative113,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,1.35407,-0.00342,0.4168,0.4092,0.27327,-0.22045,-0.24832,-0.5149,-0.98062,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-1.41139,-0.24955,-0.16218,-0.19169,1.86985,-0.11703,-0.75649,0.33553,-0.40137,-0.28071,-0.21525,0.54403,-0.30461,-0.19193,-0.2232,0.31862,-0.31148,-0.23907,-0.24428,-0.59064,0.57795,-0.47416,0.54802,-0.2726,-0.10657,-0.22676,-1.22547,-0.61027,1.38724,-1.20165,-1.35694,0.1474,-0.10727,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.57979,0
negative114,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,3.19751,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.91467,-0.51986,-0.47044,-0.92396,-0.10241,-1.97782,-0.22045,-0.24832,2.09838,0.14625,0.00584,-0.22454,-0.07522,-0.1838,-0.17764,-0.21124,-1.14361,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,-0.02018,-0.77343,-0.28071,-0.21525,2.98249,-0.30461,-0.19193,-0.2232,4.64129,0.14408,-0.23907,-0.24428,-0.59064,1.13298,-0.51122,-0.42036,-0.2726,-0.10657,2.23064,-1.48998,-1.53734,0.22599,-0.73471,-0.22205,1.5891,1.10626,-0.26272,3.25967,-0.202,0.73019,3.33793,-0.15406,-1.62595,0
negative115,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,2.68049,-0.19886,6.9938,-0.17397,-0.26697,3.1754,-0.68451,-0.51986,0.34685,-0.92396,-0.74193,-0.51461,-0.25519,-0.26769,1.2709,-0.40933,0.9402,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,-0.88673,-0.29244,0.11168,-0.19169,-1.01935,-0.13857,0.46593,0.24661,-0.30836,-0.28071,-0.21525,0.27773,-0.30461,-0.21571,-0.2232,0.48401,0.29015,-0.23907,-0.24428,-0.59064,-0.93166,-2.03243,1.04858,-0.28176,-0.10657,0.27482,-0.60749,0.5275,0.19543,0.13956,-0.19239,1.02539,-0.18567,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.59781,0
negative116,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,2.42466,-0.20684,0.875,-0.51986,-0.23693,0.44554,0.15339,-1.97782,-0.22045,-0.24832,1.53551,-0.88133,3.20935,4.6674,-0.9666,-0.1838,-0.17764,-0.21124,-0.99203,-0.24955,-0.70989,-0.19169,-0.05628,-0.11703,0.37569,1.75839,0.34274,-0.28071,-0.21525,0.19734,-0.30461,-0.19193,-0.2232,-0.45551,0.55079,-0.23907,-0.24428,-0.59064,-2.24035,-2.05536,0.33924,-0.2726,-0.10657,-0.12893,-1.11948,-0.65241,0.22599,0.79254,-1.20275,0.99513,-1.25846,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-1.0982,0
negative117,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,1.99302,-0.24643,2.82439,-0.51986,-1.40448,-0.92396,-1.12564,-0.85228,-0.25519,-0.26769,2.60927,-1.06613,-0.21662,-0.22454,1.9126,-0.1838,-0.19234,-0.27867,0.03296,-0.29244,-0.70989,-0.19169,-1.01935,-0.13857,-0.75649,0.51339,-0.86644,-0.28071,-0.21525,2.42498,-0.30461,3.89495,-0.2232,3.53331,0.17639,-0.23907,-0.24428,-0.59064,-0.59609,0.38464,-1.44577,-0.28176,-0.10657,-0.195,-1.29501,-0.31529,1.05109,-0.58099,-0.05109,0.74291,-1.14299,-0.31883,0.65647,-0.202,0.73019,-0.35722,-0.18643,-0.83129,0
negative118,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-1.40448,-0.92396,-1.12564,1.62393,-0.22045,-0.24832,-0.13736,-0.17659,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,1.97937,-0.24955,-2.35302,-0.19169,0.90678,-0.11703,-0.75649,-0.02018,-0.77343,4.20706,-0.21525,-0.56646,-0.30461,-0.19193,-0.2232,-0.55565,-0.06278,-0.23907,-0.24428,-0.59064,-0.65399,-1.93219,-0.44766,-0.2726,-0.10657,0.13995,1.93721,-1.11594,1.96786,0.05062,2.57032,0.46744,-0.23417,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,-1.49348,0
negative119,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,1.74791,-0.92396,1.75218,0.16072,-0.25519,-0.26769,-1.17725,0.36436,-0.79504,-0.22454,0.02259,-0.1838,-0.19234,-0.27867,-0.46404,-0.29244,0.52246,-0.19169,1.14755,-0.13857,1.36847,0.24661,-0.86644,-0.28071,-0.21525,0.27051,-0.30461,-0.21571,-0.2232,-0.23524,-1.55714,-0.23907,-0.24428,0.66317,0.48062,0.78948,1.15077,-0.28176,-0.10657,-1.09468,1.22583,1.74955,-0.2324,-0.81118,0.17575,1.21884,0.13061,-0.31883,-0.84538,-0.202,-1.36951,2.74536,-0.18643,0.56145,0
negative120,-0.14053,-0.20534,-0.22663,-0.17728,-0.11419,-0.1259,-0.1477,-0.13296,-0.24189,-0.19685,-0.26701,-0.16713,-0.25589,-0.23897,-0.19203,0.89868,-1.40448,0.2279,-1.12564,0.6761,-0.24865,-0.26404,-0.1704,0.2476,-0.1826,-0.22454,0.73983,-0.1838,-0.18957,-0.26597,0.0504,-0.28436,0.2414,-0.19169,-0.25904,-0.13451,0.36918,-1.03115,-0.55803,1.96317,2.47062,0.27153,-0.30461,-0.21123,-0.2232,1.01059,0.19751,-0.23907,-0.24428,-0.59064,-0.80602,0.07311,-0.34895,-0.28003,-0.10657,-0.58151,-0.15206,0.86462,-0.61269,-0.07475,0.96554,-0.66737,-0.88686,-0.30826,-0.19721,-0.202,0.73019,-0.34201,-0.18033,1.12968,0
negative121,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,1.57812,-0.00342,-0.92396,-0.35822,-1.07738,-0.22045,-0.24832,1.13148,-0.11983,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-2.28771,-0.24955,0.38553,-0.19169,-1.01935,-0.11703,-0.75649,1.40267,-0.77343,-0.28071,-0.21525,0.86304,-0.30461,4.59684,-0.2232,0.99487,0.76273,-0.23907,-0.24428,3.1708,0.31072,0.61021,-1.2726,-0.2726,-0.10657,-0.64454,-0.29004,-0.94739,-0.35463,0.58918,-0.24973,0.30026,-1.37254,-0.26272,1.6577,-0.202,0.73019,-0.27646,-0.15406,-0.56563,0
negative122,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-0.23693,-0.92396,0.15339,0.72349,-0.22045,-0.24832,1.14433,0.12321,-0.79504,-0.22454,0.60182,-0.1838,-0.17764,-0.21124,-0.90431,3.58977,0.38553,-0.19169,-0.05628,-0.11703,-0.75649,1.04696,1.08685,-0.28071,5.1565,0.6806,3.20408,-0.19193,-0.2232,-0.15707,0.10521,-0.23907,-0.24428,-0.59064,-1.7586,0.04773,-1.04503,3.41445,-0.10657,-1.3147,0.01562,-0.69455,-0.35463,-0.58571,-1.53763,-0.50204,-0.75323,3.50456,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.01404,0
negative123,-0.14425,-0.20744,-0.22883,4.99754,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,1.04738,1.86432,0.60105,-0.85228,-0.25519,-0.26769,1.26122,-0.03944,0.9402,-0.22454,0.28494,-0.1838,-0.19234,-0.27867,-1.20994,-0.29244,0.52246,-0.19169,-1.01935,-0.13857,-0.75649,0.78018,-0.30836,-0.28071,-0.21525,-0.60723,-0.30461,-0.21571,-0.2232,1.85934,1.68991,2.22314,-0.24428,-0.59064,1.85887,0.33012,-0.4388,-0.28176,-0.10657,0.74865,2.04036,0.9489,-0.2324,1.61513,0.18205,-0.97703,-0.3816,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,0.988,0
negative124,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,-1.40448,1.75961,-1.12564,0.72349,-0.22045,-0.24832,-0.05154,0.20891,-0.79504,-0.22454,0.47097,-0.1838,-0.17764,-0.21124,-0.6627,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,0.33553,-0.02932,1.96317,-0.21525,-0.96856,-0.30461,-0.19193,-0.2232,-0.63603,0.4518,-0.23907,-0.24428,-0.59064,0.74448,-1.52251,0.07373,-0.2726,-0.10657,0.51096,2.68835,-0.44171,0.80661,-0.33571,-0.21818,-1.15495,-0.80109,-0.26272,0.45622,-0.202,-1.36951,-0.27646,-0.15406,-0.32482,0
negative125,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,3.99133,-0.13765,-0.20814,-0.20684,-0.16467,-0.51986,-0.47044,0.66319,-0.10241,0.72349,-0.22045,-0.24832,0.3115,-2.07476,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.09928,-0.24955,-1.2576,-0.19169,0.90678,-0.11703,-0.75649,1.75839,-0.40137,4.20706,-0.21525,0.69374,-0.30461,-0.19193,-0.2232,0.98017,-0.72777,-0.23907,-0.24428,-0.59064,-0.01212,-0.17357,-1.23121,-0.2726,-0.10657,0.07011,0.81779,-1.0738,0.22599,-2.37227,0.59003,0.12906,-0.49435,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,0.26758,0
negative126,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,1.57278,1.79657,-0.55007,0.16072,-0.25519,-0.26769,0.01975,0.2948,-0.79504,-0.22454,2.59583,-0.1838,-0.19234,-0.27867,-1.23658,-0.29244,2.16559,-0.19169,-1.01935,-0.13857,-0.75649,-0.28696,-0.86644,-0.28071,-0.21525,1.47901,-0.30461,-0.21571,-0.2232,0.05574,0.91817,-0.23907,-0.24428,1.91698,0.04169,-0.33172,-1.33866,-0.28176,-0.10657,-0.48506,-1.71389,1.49671,-0.66023,0.60067,-0.14209,0.62118,-0.93948,-0.31883,1.25721,-0.202,-1.36951,-0.35722,-0.18643,-1.61845,0
negative127,-0.09535,-0.17971,-0.19986,-0.14297,-0.05013,-0.07589,-0.1263,-0.10956,-0.16426,-0.17232,-0.19478,-0.08391,-0.1211,-0.14827,0.35516,2.06517,0.93063,-0.14784,0.15339,-1.37753,-0.16905,-0.21967,0.98214,-0.81364,-0.79504,-0.22454,-0.9666,-0.1838,-0.15588,-0.11148,1.54154,-0.18609,1.29838,-0.19169,-1.01935,-0.08517,-0.75649,1.99553,3.19517,-0.28071,-0.21525,1.26525,-0.30461,-0.15675,-0.2232,-2.11352,1.15835,-0.23907,7.15329,-0.59064,-1.53915,-0.30834,-1.63788,-0.25906,-0.10657,-0.42823,1.90914,-2.38013,-0.49979,1.49232,3.01893,-2.43032,1.52981,-0.17969,3.52667,-0.202,-1.36951,-0.15697,-0.10615,-1.51411,0
negative128,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.72418,-0.51986,0.46361,-0.92396,0.92081,1.17371,-0.22045,-0.24832,-1.02861,-0.25225,-0.79504,-0.22454,-0.29933,-0.1838,-0.17764,-0.21124,-1.14391,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,1.40267,-0.77343,1.96317,-0.21525,-0.253,3.20408,-0.19193,-0.2232,-0.26973,0.21286,-0.23907,-0.24428,1.29008,-0.4866,0.64796,-0.6527,-0.2726,-0.10657,0.05487,-1.34944,-0.31529,-0.35463,-0.62868,-0.14715,0.1912,-0.85304,-0.26272,-0.34476,5.03431,0.73019,-0.27646,-0.15406,1.17817,0
negative129,-0.15139,-0.2115,-0.23306,-0.18553,-0.12959,-0.13792,-0.15284,-0.13859,-0.26055,-0.20274,-0.28438,-0.18713,-0.28828,-0.26077,0.23702,-0.51986,0.66527,1.36334,-0.07916,-0.11555,3.54094,-0.2747,0.1637,0.5227,0.24611,2.76498,-0.03584,3.68079,4.63735,3.39283,1.23092,-0.30799,-0.85927,-0.19169,0.95056,-0.14637,-0.75649,0.75592,-0.89181,-0.28071,-0.21525,-1.10318,-0.30461,-0.22432,-0.2232,-0.20099,0.23117,-0.23907,-0.24428,-0.59064,-0.50091,0.29692,-0.35536,2.72539,-0.10657,-0.39569,1.14568,2.21309,-1.1288,0.40164,-0.46182,-0.89765,0.34009,-0.33917,-0.59962,-0.202,-1.36951,2.56465,-0.19816,0.34642,0
negative130,-0.14425,-0.20744,3.80987,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,1.65475,-0.51986,-1.05421,1.05741,-0.74193,-0.51461,-0.25519,-0.26769,0.27055,-0.50203,0.9402,-0.22454,-0.9666,-0.1838,-0.19234,3.60692,0.71756,-0.29244,-1.12067,-0.19169,0.42525,-0.13857,-0.75649,0.51339,-0.30836,-0.28071,-0.21525,-2.1822,-0.30461,-0.21571,-0.2232,-0.9344,0.80182,-0.23907,-0.24428,-0.59064,-1.1806,-0.77766,0.1358,2.88319,-0.10657,0.05312,0.30769,0.9489,-1.51588,0.60798,1.04305,0.41242,0.21987,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,0.16938,0
